ErbB_signaling_pathway	3	127	84	20002
One_carbon_pool_by_folate	1	129	19	20067
Pantothenate_and_CoA_biosynthesis	1	129	17	20069
Estrogen_signaling_pathway	2	128	98	19988
Glycosaminoglycan_biosynthesis_-_keratan_sulfate	1	129	14	20072
Fructose_and_mannose_metabolism	1	129	32	20054
B_cell_receptor_signaling_pathway	1	129	71	20015
Tuberculosis	2	128	177	19909
Peroxisome	1	129	81	20005
Asthma	1	129	31	20055
Oxidative_phosphorylation	2	128	131	19955
cGMP_-_PKG_signaling_pathway	3	127	164	19922
Alcoholism	2	128	178	19908
Autoimmune_thyroid_disease	1	129	53	20033
Thyroid_hormone_signaling_pathway	2	128	117	19969
Taste_transduction	1	129	52	20034
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	2	128	72	20014
Pancreatic_secretion	1	129	97	19989
Non-alcoholic_fatty_liver_disease_(NAFLD)	3	127	148	19938
Herpes_simplex_infection	1	129	185	19901
Chronic_myeloid_leukemia	1	129	72	20014
Wnt_signaling_pathway	2	128	138	19948
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	1	129	67	20019
Pyruvate_metabolism	1	129	40	20046
Salivary_secretion	1	129	89	19997
Signaling_pathways_regulating_pluripotency_of_stem_cells	3	127	139	19947
African_trypanosomiasis	1	129	33	20053
PPAR_signaling_pathway	1	129	68	20018
Choline_metabolism_in_cancer	1	129	99	19987
Long-term_depression	3	127	57	20029
Prostate_cancer	2	128	87	19999
Mucin_type_O-glycan_biosynthesis	1	129	30	20056
Cell_adhesion_molecules_(CAMs)	2	128	143	19943
Primary_bile_acid_biosynthesis	1	129	16	20070
Dopaminergic_synapse	2	128	129	19957
Cocaine_addiction	1	129	49	20037
Parkinson's_disease	3	127	140	19946
Sphingolipid_signaling_pathway	1	129	119	19967
Vascular_smooth_muscle_contraction	4	126	127	19959
Propanoate_metabolism	1	129	27	20059
Aldosterone-regulated_sodium_reabsorption	1	129	38	20048
Malaria	1	129	48	20038
Influenza_A	2	128	175	19911
Acute_myeloid_leukemia	1	129	56	20030
ECM-receptor_interaction	1	129	86	20000
Circadian_entrainment	1	129	96	19990
Glycolysis_/_Gluconeogenesis	1	129	67	20019
Inflammatiory_bowel_disease_(IBD)	1	129	66	20020
Leishmaniasis	2	128	72	20014
Hepatitis_B	1	129	145	19941
Melanogenesis	2	128	99	19987
Melanoma	1	129	70	20016
Pancreatic_cancer	2	128	64	20022
Epstein-Barr_virus_infection	3	127	199	19887
Platelet_activation	2	128	129	19957
Toxoplasmosis	4	126	116	19970
Retrograde_endocannabinoid_signaling	1	129	102	19984
Long-term_potentiation	2	128	65	20021
Hypertrophic_cardiomyopathy_(HCM)	1	129	84	20002
Hedgehog_signaling_pathway	1	129	51	20035
Glycosphingolipid_biosynthesis_-_globo_series	1	129	13	20073
Bile_secretion	1	129	71	20015
Pertussis	2	128	73	20013
Fatty_acid_metabolism	1	129	46	20040
Rap1_signaling_pathway	3	127	208	19878
Neurotrophin_signaling_pathway	4	126	116	19970
Cell_cycle	2	128	122	19964
Cholinergic_synapse	2	128	111	19975
Glioma	1	129	64	20022
Alzheimer's_disease	3	127	165	19921
Serotonergic_synapse	2	128	112	19974
Gap_junction	1	129	88	19998
Measles	2	128	132	19954
Ras_signaling_pathway	1	129	227	19859
Inflammatory_mediator_regulation_of_TRP_channels	1	129	98	19988
Inositol_phosphate_metabolism	1	129	60	20026
Pathways_in_cancer	8	122	390	19696
mTOR_signaling_pathway	2	128	58	20028
MicroRNAs_in_cancer	1	129	296	19790
Basal_cell_carcinoma	2	128	53	20033
Ribosome_biogenesis_in_eukaryotes	2	128	85	20001
Cardiac_muscle_contraction	1	129	77	20009
Renal_cell_carcinoma	3	127	63	20023
Proximal_tubule_bicarbonate_reclamation	1	129	22	20064
Regulation_of_actin_cytoskeleton	7	123	208	19878
Transcriptional_misregulation_in_cancers	1	129	178	19908
Prolactin_signaling_pathway	2	128	70	20016
Progesterone-mediated_oocyte_maturation	4	126	85	20001
Gastric_acid_secretion	2	128	73	20013
Endometrial_cancer	3	127	49	20037
Carbon_metabolism	1	129	103	19983
PI3K-Akt_signaling_pathway	3	127	344	19742
Glycosphingolipid_biosynthesis_-_ganglio_series	1	129	14	20072
Proteoglycans_in_cancer	2	128	202	19884
FoxO_signaling_pathway	2	128	132	19954
Thyroid_cancer	1	129	28	20058
Chagas_disease_(American_trypanosomiasis)	2	128	102	19984
Tight_junction	5	125	133	19953
Oocyte_meiosis	1	129	112	19974
Glutamatergic_synapse	3	127	113	19973
Adherens_junction	3	127	70	20016
AMPK_signaling_pathway	1	129	123	19963
Oxytocin_signaling_pathway	3	127	156	19930
Viral_carcinogenesis	3	127	203	19883
Endocrine_and_other_factor-regulated_calcium_reabsorption	1	129	47	20039
Cytokine-cytokine_receptor_interaction	1	129	270	19816
Neuroactive_ligand-receptor_interaction	7	123	314	19772
Hepatitis_C	3	127	130	19956
Valine,_leucine_and_isoleucine_degradation	1	129	46	20040
T_cell_receptor_signaling_pathway	3	127	101	19985
Insulin_signaling_pathway	2	128	139	19947
Bladder_cancer	1	129	37	20049
Chemokine_signaling_pathway	4	126	185	19901
Fc_gamma_R-mediated_phagocytosis	1	129	90	19996
ABC_transporters	1	129	43	20043
Leukocyte_transendothelial_migration	3	127	115	19971
Dilated_cardiomyopathy_(DCM)	1	129	89	19997
Natural_killer_cell_mediated_cytotoxicity	1	129	136	19950
Colorectal_cancer	4	126	58	20028
GABAergic_synapse	1	129	89	19997
Allograft_rejection	1	129	38	20048
Amoebiasis	3	127	106	19980
Staphylococcus_aureus_infection	1	129	56	20030
MAPK_signaling_pathway	3	127	254	19832
Amino_sugar_and_nucleotide_sugar_metabolism	1	129	45	20041
Morphine_addiction	1	129	92	19994
cAMP_signaling_pathway	2	128	198	19888
Spliceosome	3	127	129	19957
Endocytosis	3	127	210	19876
Focal_adhesion	6	124	201	19885
HTLV-I_infection	3	127	258	19828
Hippo_signaling_pathway	4	126	150	19936
Huntington's_disease	2	128	191	19895
Citrate_cycle_(TCA_cycle)	1	129	30	20056
beta-Alanine_metabolism	2	128	29	20057
Axon_guidance	4	126	123	19963
Calcium_signaling_pathway	2	128	178	19908
Fatty_acid_degradation	1	129	43	20043
Intestinal_immune_network_for_IgA_production	1	129	48	20038
Taurine_and_hypotaurine_metabolism	1	129	10	20076
Adrenergic_signaling_in_cardiomyocytes	3	127	146	19940
Phosphatidylinositol_signaling_system	1	129	80	20006
Systemic_lupus_erythematosus	2	128	134	19952
Jak-STAT_signaling_pathway	2	128	154	19932
Small_cell_lung_cancer	1	129	85	20001
Osteoclast_differentiation	1	129	130	19956
Non-small_cell_lung_cancer	2	128	54	20032
